month,region,product,age_group,sales,units
Apr,West,Tablet,46-55,2148,23
May,West,Watch,26-35,4246,10
Mar,West,Tablet,18-25,4880,44
May,North,Laptop,55+,816,2
May,West,Laptop,46-55,4644,13
Feb,North,Watch,18-25,4683,40
Mar,South,Watch,55+,1923,2
Mar,North,Headphones,18-25,2181,20
Mar,South,Headphones,36-45,3519,1
May,West,Tablet,18-25,1674,37
Apr,West,Watch,18-25,349,9
Mar,South,Laptop,18-25,773,17
Jun,East,Headphones,46-55,4633,9
May,South,Headphones,18-25,2265,11
Feb,East,Laptop,55+,870,15
Apr,North,Headphones,36-45,4062,24
Jun,North,Tablet,36-45,4463,38
Jun,North,Watch,18-25,2084,35
Feb,West,Laptop,46-55,1177,30
Apr,North,Watch,46-55,335,31
May,East,Headphones,55+,488,49
Jan,North,Headphones,18-25,3137,5
Apr,South,Laptop,36-45,4958,44
Feb,South,Tablet,46-55,1948,14
Jun,West,Phone,18-25,4819,11
May,South,Laptop,46-55,2914,9
Apr,East,Phone,46-55,3474,34
Jan,North,Phone,36-45,3378,12
Jan,West,Tablet,26-35,1352,35
Mar,North,Phone,55+,4081,35
Mar,North,Phone,55+,4773,1
Feb,East,Tablet,36-45,2222,40
Apr,South,Phone,46-55,4630,22
Apr,South,Phone,18-25,2250,29
Jun,North,Phone,46-55,4959,8
Jun,West,Laptop,36-45,1429,11
Jun,South,Laptop,55+,1458,41
Mar,West,Laptop,46-55,2582,37
Apr,South,Tablet,55+,4642,14
Apr,West,Headphones,18-25,2117,30
Jan,East,Phone,55+,1431,35
Mar,West,Phone,55+,4444,21
May,East,Tablet,26-35,4361,37
Mar,East,Phone,26-35,1458,5
May,West,Laptop,26-35,4737,19
Jan,East,Headphones,55+,4954,14
Feb,North,Watch,36-45,3277,26
Apr,East,Phone,55+,2228,4
Jan,South,Laptop,36-45,2280,25
Apr,West,Watch,36-45,4992,45
Jun,North,Headphones,26-35,237,42
Feb,West,Watch,46-55,3572,25
Feb,South,Laptop,18-25,2932,18
Jan,South,Watch,26-35,3679,40
Feb,South,Tablet,26-35,3131,8
May,East,Watch,46-55,4264,39
Feb,East,Phone,18-25,2693,40
Apr,West,Phone,55+,4400,14
Apr,West,Tablet,55+,3918,32
Apr,North,Laptop,26-35,4238,38
Apr,North,Phone,18-25,3923,33
May,West,Headphones,26-35,4142,23
Mar,East,Phone,36-45,2006,15
Jun,South,Phone,26-35,860,33
Jan,West,Laptop,26-35,3545,25
Apr,North,Watch,55+,999,17
Feb,East,Phone,55+,4555,33
Apr,West,Tablet,55+,3047,47
Feb,West,Watch,36-45,1819,2
Jun,East,Headphones,55+,380,14
Jun,West,Laptop,18-25,3366,40
Jun,East,Headphones,46-55,1987,40
Feb,South,Watch,18-25,3366,39
Apr,East,Watch,18-25,766,6
Jun,East,Watch,55+,4288,6
May,East,Headphones,46-55,771,3
Feb,West,Watch,46-55,2069,7
Feb,West,Headphones,46-55,4256,8
Apr,East,Watch,36-45,3222,42
Feb,West,Tablet,55+,4799,15
Feb,North,Watch,46-55,4877,47
Jun,North,Headphones,36-45,4000,29
Apr,West,Phone,26-35,623,33
Jun,West,Watch,26-35,2493,30
Jun,East,Phone,36-45,3217,39
Apr,South,Tablet,36-45,2693,27
Jan,West,Laptop,55+,2068,36
Jun,North,Tablet,55+,1853,29
May,East,Watch,26-35,2396,38
May,West,Phone,46-55,2361,33
Feb,North,Phone,26-35,2386,37
May,North,Headphones,46-55,4302,27
Feb,South,Phone,46-55,2978,33
Jan,East,Headphones,55+,4243,4
Apr,East,Laptop,18-25,3744,22
Apr,South,Watch,18-25,4532,2
Apr,South,Headphones,36-45,2155,10
May,East,Laptop,55+,4820,5
Jan,East,Phone,46-55,1376,10
May,West,Phone,18-25,2866,33
